student_id, age, gender, study_hours_per_day, social_media_hours, netflix_hours, part_time_job, attendance_percentage, sleep_hours, diet_quality, exercise_frequency, parental_education_level, internet_quality, mental_health_rating, extracurricular_participation
S1243, 17, Female, 4.6, 2.2, 1.7, No, 85.2, 7.6, Fair, 2, Bachelor, Average, 8, No
S1244, 23, Male, 5.0, 4.5, 2.3, No, 87.2, 7.7, Good, 6, High School, Average, 8, No
S1245, 22, Female, 2.4, 4.1, 0.0, No, 80.5, 6.1, Fair, 1, Bachelor, Average, 3, Yes
S1246, 17, Male, 1.4, 0.9, 2.6, Yes, 83.0, 4.4, Poor, 3, Bachelor, Good, 8, No
S1247, 17, Female, 5.8, 3.5, 1.9, No, 88.7, 8.8, Fair, 1, Bachelor, Good, 8, Yes
S1248, 17, Female, 3.0, 3.5, 1.6, No, 95.4, 6.4, Fair, 3, High School, Good, 3, No
S1249, 19, Female, 3.1, 1.1, 4.1, No, 65.4, 5.6, Good, 3, High School, Good, 10, Yes
S1250, 22, Male, 5.5, 3.5, 1.1, Yes, 81.3, 7.0, Good, 2, High School, Average, 10, No
S1251, 17, Female, 4.3, 4.3, 1.4, No, 87.1, 7.9, Fair, 1, Master, Average, 2, No
S1252, 20, Female, 4.2, 1.2, 4.0, No, 75.8, 6.5, Fair, 1, High School, Good, 10, No
S1253, 21, Male, 6.7, 1.4, 0.9, No, 100.0, 8.0, Fair, 4, Bachelor, Good, 2, No
S1254, 17, Male, 2.5, 3.7, 1.2, Yes, 78.6, 7.8, Good, 6, Bachelor, Average, 9, No
S1255, 19, Female, 4.9, 2.8, 1.6, No, 84.6, 5.2, Good, 4, High School, Average, 7, No
S1256, 23, Female, 3.6, 3.2, 2.7, No, 90.6, 5.7, Good, 0, Bachelor, Good, 6, No
S1257, 22, Female, 3.9, 2.9, 2.0, No, 79.1, 7.6, Fair, 3, Master, Good, 7, No
S1258, 24, Female, 5.8, 3.0, 0.4, No, 66.5, 3.2, Fair, 2, High School, Average, 8, No
S1259, 19, Female, 4.3, 0.9, 1.2, No, 80.7, 6.3, Fair, 4, Master, Good, 1, No
S1260, 17, Male, 4.3, 3.8, 1.1, No, 95.3, 4.8, Fair, 1, High School, Average, 8, No
S1261, 22, Male, 5.1, 3.9, 1.7, Yes, 81.6, 5.9, Fair, 0, None, Poor, 3, Yes
S1262, 21, Male, 3.0, 2.2, 2.3, No, 76.5, 6.1, Poor, 2, Master, Average, 3, No
S1263, 17, Female, 2.2, 2.4, 2.3, Yes, 94.3, 6.1, Poor, 5, Bachelor, Average, 6, No
S1264, 19, Male, 1.9, 0.7, 0.0, No, 81.7, 5.8, Good, 1, Master, Poor, 4, No
S1265, 18, Female, 0.6, 3.1, 3.0, No, 79.9, 5.2, Good, 1, Bachelor, Good, 4, No
S1266, 20, Female, 6.6, 3.2, 2.1, No, 86.5, 9.3, Fair, 5, Master, Average, 4, Yes
S1267, 24, Female, 1.8, 2.4, 3.3, Yes, 92.7, 8.7, Fair, 3, Bachelor, Good, 10, No
S1268, 23, Male, 3.2, 3.8, 2.3, No, 100.0, 5.1, Fair, 3, Bachelor, Poor, 9, No
S1269, 19, Female, 3.1, 2.1, 3.0, No, 93.3, 8.4, Good, 4, Bachelor, Average, 8, No
S1270, 22, Male, 4.0, 3.2, 2.3, Yes, 96.6, 6.0, Good, 4, High School, Good, 3, Yes
S1271, 24, Female, 4.7, 1.3, 3.3, Yes, 79.9, 6.7, Good, 1, Master, Good, 1, No
S1272, 24, Male, 4.8, 2.5, 2.4, Yes, 74.7, 6.4, Good, 6, High School, Good, 1, No
S1273, 24, Male, 2.6, 2.3, 1.7, No, 85.6, 5.7, Fair, 1, Bachelor, Good, 1, Yes
S1274, 17, Female, 3.2, 2.8, 4.3, No, 86.1, 7.7, Fair, 4, High School, Average, 4, Yes
S1275, 20, Male, 3.9, 2.1, 2.8, No, 74.2, 6.7, Fair, 5, Bachelor, Average, 6, No
S1276, 17, Male, 3.1, 2.3, 2.4, Yes, 83.2, 5.9, Fair, 4, High School, Good, 4, Yes
S1277, 22, Female, 5.9, 3.5, 0.4, No, 89.0, 4.9, Good, 1, None, Good, 3, No
S1278, 17, Female, 4.2, 2.0, 0.4, No, 88.6, 5.4, Fair, 2, Master, Good, 8, Yes
S1279, 18, Female, 4.6, 0.6, 2.1, No, 90.0, 4.5, Poor, 1, High School, Good, 8, No
S1280, 20, Female, 4.5, 4.6, 2.0, No, 87.9, 6.5, Fair, 2, Bachelor, Good, 6, No
S1281, 20, Female, 5.3, 4.2, 1.1, Yes, 79.9, 5.1, Good, 2, High School, Average, 9, No
S1282, 22, Male, 3.8, 0.9, 2.0, Yes, 79.9, 6.2, Fair, 1, None, Good, 10, No
S1283, 23, Male, 1.6, 3.3, 3.5, Yes, 73.0, 8.1, Good, 6, High School, Good, 1, No
S1284, 18, Male, 4.1, 1.9, 2.6, No, 100.0, 7.9, Fair, 6, Bachelor, Good, 8, No
S1285, 19, Female, 2.5, 2.8, 0.5, Yes, 85.1, 6.5, Poor, 0, None, Poor, 6, Yes
S1286, 17, Female, 2.7, 2.9, 1.7, No, 82.8, 6.4, Fair, 4, Master, Average, 1, No
S1287, 21, Male, 4.4, 2.2, 0.9, No, 75.7, 8.8, Good, 6, High School, Poor, 4, Yes
S1288, 17, Male, 5.4, 1.6, 1.4, No, 100.0, 7.1, Fair, 3, High School, Average, 5, No
S1289, 24, Female, 3.5, 1.7, 1.3, No, 74.3, 6.1, Good, 1, High School, Good, 7, Yes
S1290, 17, Male, 4.0, 1.4, 1.3, No, 80.7, 4.8, Fair, 2, None, Poor, 8, No
S1291, 19, Female, 6.1, 1.5, 0.4, No, 89.2, 7.0, Poor, 1, Bachelor, Average, 9, No
S1292, 17, Female, 3.9, 2.4, 1.7, Yes, 91.0, 7.5, Good, 4, Master, Average, 6, Yes
S1293, 18, Female, 7.4, 1.6, 1.2, No, 94.6, 5.7, Fair, 5, Bachelor, Good, 10, Yes
S1294, 18, Male, 4.3, 3.3, 0.0, No, 100.0, 6.8, Fair, 6, High School, Average, 9, No
S1295, 20, Female, 0.9, 4.3, 4.1, No, 90.1, 6.1, Good, 6, High School, Average, 4, No
S1296, 22, Female, 4.6, 1.8, 3.0, No, 74.4, 6.3, Fair, 6, High School, Average, 8, No
S1297, 23, Female, 4.1, 2.8, 1.4, No, 82.4, 3.5, Good, 2, Master, Average, 3, No
S1298, 21, Female, 5.4, 3.1, 1.8, No, 88.1, 6.2, Poor, 3, High School, Average, 4, Yes
S1299, 24, Female, 4.5, 3.1, 0.5, No, 100.0, 7.7, Fair, 3, Bachelor, Average, 10, No
S1300, 17, Female, 3.3, 2.6, 3.7, No, 71.0, 5.7, Poor, 6, High School, Good, 4, Yes
S1301, 17, Male, 1.7, 3.4, 3.9, Yes, 97.0, 6.6, Good, 3, High School, Average, 6, No
S1302, 19, Female, 3.2, 3.1, 2.0, No, 86.8, 5.6, Fair, 5, High School, Poor, 9, No
S1303, 22, Female, 2.2, 1.0, 2.9, No, 93.4, 6.9, Good, 6, None, Good, 6, No
S1304, 18, Male, 2.6, 3.5, 2.0, No, 84.0, 6.2, Good, 0, Bachelor, Average, 1, No
S1305, 21, Female, 4.4, 3.6, 0.3, No, 76.6, 5.4, Fair, 2, High School, Good, 5, Yes
S1306, 20, Female, 6.0, 1.6, 1.3, No, 92.5, 8.1, Fair, 5, Bachelor, Average, 9, No
S1307, 18, Female, 4.1, 2.5, 1.9, Yes, 91.5, 7.6, Fair, 2, None, Good, 5, No
S1308, 24, Male, 1.7, 3.3, 1.3, No, 94.7, 5.8, Fair, 6, Master, Good, 6, Yes
S1309, 22, Male, 4.2, 2.2, 1.6, No, 84.9, 7.1, Fair, 5, High School, Good, 3, Yes
S1310, 24, Other, 5.3, 3.8, 1.7, No, 79.0, 7.1, Good, 6, Master, Average, 8, No
S1311, 23, Female, 2.6, 5.3, 1.7, Yes, 69.4, 7.3, Good, 5, Bachelor, Average, 10, No
S1312, 20, Male, 3.3, 1.6, 1.9, No, 93.2, 4.5, Good, 6, Master, Average, 4, No
S1313, 23, Female, 3.5, 0.8, 0.6, No, 89.2, 7.7, Good, 0, High School, Good, 4, No
S1314, 19, Female, 2.3, 2.9, 1.0, No, 75.3, 5.8, Good, 2, Bachelor, Good, 5, Yes
S1315, 24, Female, 4.5, 3.4, 0.4, No, 79.6, 6.1, Fair, 5, High School, Poor, 10, No
S1316, 19, Female, 3.3, 2.2, 2.9, Yes, 80.3, 9.7, Good, 0, High School, Poor, 9, No
S1317, 17, Male, 4.1, 4.2, 0.0, No, 70.2, 6.9, Good, 1, High School, Average, 8, Yes
S1318, 23, Male, 2.2, 0.9, 3.1, No, 76.8, 6.0, Fair, 6, High School, Poor, 7, No
S1319, 22, Male, 2.8, 3.3, 3.3, No, 73.7, 3.9, Good, 4, Master, Average, 5, Yes
S1320, 24, Female, 4.6, 1.8, 1.5, No, 80.9, 8.2, Fair, 5, None, Poor, 9, Yes
S1321, 21, Male, 2.9, 4.6, 0.0, Yes, 77.6, 4.9, Good, 3, Bachelor, Good, 9, Yes
S1322, 20, Male, 6.1, 4.9, 1.4, No, 68.7, 5.3, Good, 0, Bachelor, Good, 10, No
S1323, 18, Male, 2.9, 1.6, 1.7, No, 100.0, 6.1, Good, 0, Bachelor, Good, 10, No
S1324, 22, Female, 3.8, 1.8, 0.7, No, 97.5, 8.2, Fair, 5, Bachelor, Average, 2, No
S1325, 22, Female, 4.9, 3.5, 1.2, No, 77.2, 7.4, Good, 0, High School, Good, 4, No
S1326, 19, Male, 1.4, 2.0, 3.5, No, 87.7, 6.3, Fair, 1, Bachelor, Good, 8, No
S1327, 23, Male, 0.9, 2.4, 2.5, No, 89.2, 6.9, Fair, 0, High School, Poor, 1, No
S1328, 24, Female, 1.2, 2.5, 0.8, Yes, 96.9, 5.8, Good, 4, Master, Good, 5, No
S1329, 24, Male, 5.4, 0.2, 0.0, No, 76.8, 6.7, Fair, 4, Bachelor, Average, 8, No
S1330, 17, Male, 2.7, 2.5, 1.4, No, 95.9, 6.6, Good, 6, Master, Average, 2, No
S1331, 17, Male, 7.3, 1.7, 1.6, No, 79.5, 7.7, Fair, 6, None, Average, 2, Yes
S1332, 20, Male, 2.7, 1.9, 2.3, No, 71.6, 7.7, Fair, 3, High School, Poor, 8, No
S1333, 19, Male, 3.8, 4.2, 1.2, No, 92.2, 7.1, Good, 1, High School, Good, 10, No
S1334, 22, Female, 5.8, 1.0, 2.4, No, 97.9, 6.1, Fair, 4, None, Average, 9, No
S1335, 24, Male, 6.5, 3.5, 3.9, No, 100.0, 7.4, Poor, 5, High School, Average, 7, Yes
S1336, 21, Female, 6.6, 2.2, 2.7, No, 73.0, 6.4, Good, 2, Bachelor, Poor, 8, Yes
S1337, 19, Male, 5.3, 2.2, 1.7, No, 92.0, 5.2, Fair, 2, High School, Good, 5, No
S1338, 20, Female, 5.0, 3.4, 1.6, Yes, 80.9, 6.0, Good, 2, Bachelor, Average, 1, Yes
S1339, 20, Female, 4.4, 2.9, 1.4, No, 92.8, 6.6, Fair, 6, Master, Good, 4, Yes
S1340, 19, Male, 4.7, 3.2, 3.1, Yes, 70.3, 7.6, Fair, 5, Bachelor, Good, 2, No
S1341, 20, Female, 2.7, 3.7, 1.1, No, 72.4, 6.3, Fair, 0, High School, Average, 3, No
S1342, 19, Male, 2.3, 2.1, 1.8, No, 77.2, 5.0, Fair, 5, High School, Average, 3, No
S1343, 18, Other, 3.5, 1.8, 1.9, No, 85.8, 6.6, Fair, 0, High School, Good, 9, No
S1344, 19, Male, 3.2, 1.2, 1.2, No, 78.6, 6.6, Fair, 2, High School, Poor, 10, Yes
S1345, 23, Male, 2.8, 1.5, 0.3, No, 91.6, 6.7, Fair, 3, Bachelor, Poor, 4, No
S1346, 19, Male, 4.5, 6.0, 2.2, Yes, 95.3, 7.6, Poor, 3, High School, Good, 2, Yes
S1347, 20, Other, 4.9, 4.0, 1.7, No, 91.0, 7.7, Fair, 0, Master, Average, 3, No
S1348, 24, Female, 3.6, 0.9, 2.4, No, 100.0, 5.8, Poor, 2, Bachelor, Average, 3, No
S1349, 23, Female, 5.7, 0.9, 1.2, No, 89.2, 5.8, Poor, 5, Bachelor, Average, 7, No
S1350, 20, Male, 1.8, 3.1, 3.1, No, 72.8, 5.3, Good, 3, High School, Average, 8, No
S1351, 17, Female, 3.2, 3.2, 0.8, No, 98.6, 7.3, Good, 0, High School, Good, 6, No
S1352, 17, Male, 2.4, 3.2, 3.7, No, 78.9, 8.2, Good, 5, Bachelor, Good, 4, Yes
S1353, 24, Female, 0.7, 2.2, 0.0, No, 94.1, 6.1, Fair, 2, High School, Good, 6, No
S1354, 24, Male, 3.4, 2.3, 2.3, No, 100.0, 6.2, Good, 1, High School, Good, 1, No
S1355, 23, Male, 3.3, 2.9, 2.3, Yes, 89.6, 8.3, Good, 2, High School, Average, 10, No
S1356, 18, Male, 5.8, 2.6, 0.9, Yes, 70.0, 7.1, Good, 6, High School, Average, 8, No
S1357, 24, Male, 4.4, 0.0, 2.3, No, 75.8, 7.0, Fair, 2, Bachelor, Average, 1, No
S1358, 17, Female, 2.0, 2.2, 3.2, No, 98.2, 5.1, Good, 5, High School, Average, 5, No
S1359, 19, Male, 6.3, 1.5, 0.0, No, 83.3, 7.3, Good, 5, Bachelor, Good, 2, Yes
S1360, 20, Female, 5.3, 2.7, 2.4, Yes, 85.8, 5.4, Good, 4, High School, Good, 6, No
S1361, 17, Male, 4.4, 6.1, 0.0, No, 92.6, 5.1, Poor, 4, Bachelor, Average, 9, Yes
S1362, 17, Female, 3.2, 2.9, 0.7, No, 92.0, 6.1, Fair, 5, Master, Poor, 5, No
S1363, 18, Male, 2.1, 2.1, 3.6, No, 87.8, 5.8, Fair, 5, Master, Poor, 4, No
S1364, 23, Male, 2.9, 3.6, 1.2, No, 82.9, 6.2, Fair, 1, High School, Average, 2, No
S1365, 23, Female, 5.1, 3.1, 0.5, Yes, 81.9, 4.8, Good, 1, None, Poor, 3, No
S1366, 22, Male, 6.3, 3.0, 1.6, No, 93.6, 7.7, Poor, 2, High School, Average, 6, Yes
S1367, 18, Male, 5.8, 3.2, 4.1, No, 90.5, 7.9, Poor, 6, Bachelor, Good, 8, No
S1368, 19, Female, 2.8, 5.0, 0.0, Yes, 82.4, 4.2, Fair, 3, Bachelor, Good, 8, No
S1369, 23, Female, 1.8, 1.1, 0.6, Yes, 95.8, 7.7, Poor, 6, Bachelor, Average, 5, No
S1370, 20, Male, 3.7, 3.1, 3.4, Yes, 83.7, 5.5, Fair, 1, High School, Average, 5, Yes
S1371, 24, Male, 0.8, 1.4, 3.8, Yes, 76.5, 7.5, Good, 2, Bachelor, Average, 10, No
S1372, 18, Female, 4.0, 3.2, 1.7, No, 77.4, 6.4, Fair, 6, High School, Good, 3, No
S1373, 24, Male, 3.3, 1.4, 0.4, No, 75.2, 6.5, Poor, 0, Bachelor, Good, 7, Yes
S1374, 17, Male, 2.8, 2.0, 4.1, Yes, 82.3, 6.3, Fair, 4, High School, Good, 6, No
S1375, 20, Male, 1.1, 2.1, 3.6, Yes, 97.3, 8.0, Fair, 6, Bachelor, Average, 1, Yes
S1376, 20, Female, 4.3, 3.7, 2.5, No, 76.9, 5.0, Poor, 3, None, Good, 4, No
S1377, 17, Female, 2.7, 3.6, 0.9, No, 86.9, 7.2, Good, 2, High School, Poor, 6, Yes
S1378, 18, Male, 1.7, 1.0, 1.7, No, 78.4, 7.8, Good, 6, Bachelor, Good, 6, No
S1379, 17, Male, 0.0, 2.6, 1.6, No, 82.4, 7.4, Good, 5, High School, Average, 3, No
S1380, 24, Male, 3.5, 1.6, 2.2, No, 69.9, 9.3, Good, 0, Bachelor, Average, 6, No
S1381, 22, Female, 6.2, 1.0, 3.4, No, 82.8, 5.9, Poor, 4, Bachelor, Good, 10, No
S1382, 20, Male, 6.0, 2.2, 2.8, Yes, 83.1, 7.6, Good, 0, Bachelor, Average, 6, No
S1383, 21, Male, 2.8, 2.1, 0.6, No, 90.4, 6.4, Good, 2, High School, Poor, 9, Yes
S1384, 21, Female, 2.6, 5.4, 3.3, No, 87.2, 8.0, Good, 1, High School, Poor, 9, No
S1385, 24, Male, 4.2, 3.0, 2.1, No, 73.0, 6.5, Poor, 4, Bachelor, Poor, 2, No
S1386, 19, Female, 2.0, 0.8, 2.6, No, 95.8, 6.0, Good, 0, High School, Poor, 4, No
S1387, 23, Male, 4.0, 1.8, 3.4, No, 87.1, 8.1, Good, 1, Bachelor, Poor, 9, Yes
S1388, 17, Male, 4.6, 3.7, 0.6, No, 87.0, 5.9, Good, 3, High School, Average, 4, Yes
S1389, 17, Male, 5.3, 5.0, 1.8, No, 84.9, 4.8, Poor, 2, High School, Average, 8, No
S1390, 19, Female, 3.3, 0.6, 1.2, Yes, 79.8, 5.9, Good, 2, High School, Good, 10, No
S1391, 19, Female, 3.2, 0.2, 0.1, Yes, 87.2, 7.2, Good, 4, None, Average, 3, No
S1392, 24, Female, 2.2, 4.7, 2.2, No, 89.8, 8.2, Good, 0, High School, Poor, 3, No
S1393, 24, Male, 2.3, 3.0, 4.6, No, 67.5, 6.6, Fair, 3, Bachelor, Average, 9, No
S1394, 19, Female, 3.2, 1.5, 0.0, No, 79.6, 8.1, Good, 5, Bachelor, Good, 10, No
S1395, 20, Male, 4.1, 3.1, 1.8, No, 82.5, 4.9, Fair, 4, High School, Good, 8, No
S1396, 24, Male, 4.9, 0.0, 2.5, Yes, 87.6, 6.0, Fair, 5, Master, Average, 1, No
S1397, 22, Female, 2.3, 2.5, 1.9, Yes, 96.9, 6.2, Fair, 4, Bachelor, Good, 10, Yes
S1398, 24, Male, 5.7, 2.9, 1.7, No, 77.3, 6.4, Good, 0, Master, Good, 2, Yes
S1399, 17, Male, 3.1, 3.6, 0.4, No, 80.0, 6.6, Poor, 3, Bachelor, Good, 3, Yes
S1400, 24, Male, 3.5, 1.3, 2.1, No, 79.9, 7.3, Fair, 0, Bachelor, Good, 2, No
S1401, 20, Male, 2.4, 2.6, 1.0, No, 77.0, 6.0, Good, 2, None, Good, 3, Yes
S1402, 19, Male, 0.0, 1.4, 0.0, No, 81.5, 6.7, Good, 5, High School, Good, 8, Yes
S1403, 17, Female, 4.8, 2.8, 3.1, No, 92.7, 6.4, Fair, 1, None, Good, 6, No
S1404, 24, Male, 4.6, 1.4, 2.9, Yes, 74.5, 5.4, Good, 6, Bachelor, Average, 7, Yes
S1405, 20, Female, 3.1, 2.0, 1.9, No, 89.3, 6.4, Good, 2, High School, Good, 10, Yes
S1406, 22, Female, 3.6, 1.3, 2.1, No, 68.0, 6.3, Poor, 2, Bachelor, Good, 10, Yes
S1407, 24, Male, 4.3, 3.3, 3.0, No, 79.4, 6.3, Fair, 5, High School, Poor, 6, Yes
S1408, 20, Male, 1.2, 3.5, 2.0, No, 81.7, 6.5, Poor, 4, Bachelor, Good, 1, No
S1409, 22, Male, 2.7, 2.2, 2.8, No, 100.0, 6.6, Fair, 2, High School, Average, 3, No
S1410, 19, Female, 4.7, 2.5, 1.5, No, 82.3, 6.0, Fair, 6, High School, Average, 1, No
S1411, 24, Male, 1.6, 0.8, 3.2, Yes, 63.0, 8.0, Good, 3, High School, Good, 10, No
S1412, 22, Female, 3.9, 2.1, 2.2, No, 65.0, 5.1, Good, 2, High School, Average, 9, No
S1413, 17, Male, 1.5, 2.4, 2.0, Yes, 85.3, 5.6, Poor, 3, High School, Average, 9, No
S1414, 19, Female, 4.2, 5.6, 0.4, No, 91.1, 9.8, Poor, 0, Bachelor, Poor, 5, Yes
S1415, 17, Male, 3.4, 1.2, 2.1, Yes, 88.8, 5.3, Fair, 4, None, Average, 4, Yes
S1416, 21, Male, 1.1, 4.3, 0.9, No, 86.7, 4.9, Fair, 3, High School, Average, 9, No
S1417, 18, Female, 5.2, 3.7, 1.1, No, 96.6, 7.4, Fair, 2, Bachelor, Average, 9, Yes
S1418, 24, Female, 2.4, 2.8, 0.9, No, 79.6, 4.0, Good, 4, None, Average, 3, Yes
S1419, 22, Male, 2.3, 4.6, 0.6, No, 93.9, 6.2, Good, 6, Master, Good, 5, No
S1420, 18, Female, 3.8, 2.9, 4.1, Yes, 68.7, 9.1, Fair, 4, Master, Good, 3, No
S1421, 18, Female, 5.2, 3.0, 3.3, No, 76.0, 4.6, Good, 3, None, Poor, 10, Yes
S1422, 22, Female, 2.0, 2.4, 3.9, No, 66.9, 4.1, Fair, 3, High School, Good, 2, Yes
S1423, 19, Female, 3.6, 4.0, 0.5, No, 82.3, 4.7, Good, 1, High School, Poor, 1, No
S1424, 24, Male, 4.1, 3.8, 1.9, Yes, 84.5, 7.6, Fair, 1, Bachelor, Poor, 10, No
S1425, 21, Male, 4.5, 1.7, 0.4, No, 86.1, 7.8, Poor, 4, Bachelor, Poor, 2, Yes
S1426, 17, Male, 3.8, 0.9, 1.0, No, 85.6, 5.9, Good, 5, Bachelor, Good, 8, No
S1427, 20, Female, 2.9, 2.3, 0.8, Yes, 75.7, 7.3, Fair, 5, Bachelor, Good, 8, No
S1428, 17, Female, 2.3, 1.5, 3.2, No, 83.1, 8.2, Good, 1, High School, Average, 3, No
S1429, 20, Male, 3.6, 2.4, 1.4, No, 70.0, 8.6, Fair, 2, Bachelor, Average, 7, No
S1430, 17, Male, 1.9, 4.0, 3.0, No, 98.6, 6.2, Poor, 0, Bachelor, Average, 7, Yes
S1431, 22, Female, 0.0, 2.0, 2.5, No, 82.0, 3.7, Poor, 4, Bachelor, Average, 2, No
S1432, 21, Other, 4.2, 2.4, 4.3, No, 80.1, 5.5, Fair, 0, Master, Good, 9, No
S1433, 24, Female, 4.9, 2.6, 0.2, No, 100.0, 6.0, Good, 1, Bachelor, Average, 3, Yes
S1434, 20, Male, 0.0, 3.5, 3.2, No, 72.6, 6.2, Fair, 3, High School, Good, 2, No
S1435, 24, Male, 2.0, 0.0, 3.1, No, 73.7, 6.3, Good, 6, High School, Average, 3, Yes
S1436, 24, Male, 4.4, 1.8, 0.7, No, 74.0, 7.8, Good, 4, High School, Good, 2, Yes
S1437, 24, Female, 6.6, 2.8, 2.9, No, 84.3, 8.0, Good, 1, None, Good, 8, No
S1438, 23, Male, 3.5, 3.9, 2.2, No, 89.3, 6.3, Fair, 2, Master, Average, 5, Yes
S1439, 19, Female, 2.4, 1.9, 1.5, No, 92.4, 7.8, Good, 6, High School, Good, 3, No
S1440, 17, Male, 3.2, 0.2, 0.9, No, 100.0, 6.9, Fair, 4, Bachelor, Good, 5, No
S1441, 24, Female, 5.6, 3.2, 1.0, No, 62.5, 6.6, Fair, 4, Bachelor, Average, 8, No
S1442, 17, Female, 2.5, 1.7, 4.1, No, 91.1, 7.6, Poor, 5, None, Average, 7, No
S1443, 24, Female, 2.3, 1.1, 1.8, Yes, 79.4, 6.6, Fair, 3, Master, Good, 6, No
S1444, 20, Male, 2.8, 1.8, 2.7, No, 79.1, 9.0, Poor, 4, Master, Average, 1, Yes
S1445, 19, Male, 2.1, 2.3, 0.9, No, 78.8, 4.8, Good, 3, Bachelor, Poor, 10, No
S1446, 19, Male, 3.7, 1.8, 0.9, Yes, 75.9, 5.9, Fair, 1, High School, Average, 1, No
S1447, 22, Female, 5.9, 0.0, 3.0, No, 100.0, 6.3, Fair, 2, High School, Good, 1, Yes
S1448, 23, Female, 4.0, 3.6, 0.3, No, 93.4, 7.0, Good, 6, High School, Good, 10, Yes
S1449, 22, Female, 3.1, 4.0, 1.3, No, 85.2, 8.0, Fair, 6, High School, Good, 8, Yes
S1450, 22, Female, 3.1, 3.3, 1.8, No, 98.5, 6.5, Fair, 2, Bachelor, Average, 8, No
S1451, 22, Female, 1.2, 1.1, 1.9, No, 69.9, 4.8, Poor, 4, Master, Poor, 7, No
S1452, 22, Male, 4.8, 2.3, 1.6, Yes, 71.7, 7.5, Good, 4, Bachelor, Good, 6, No
S1453, 22, Female, 3.4, 2.5, 2.2, No, 63.2, 7.4, Poor, 1, Master, Good, 4, No
S1454, 21, Male, 3.2, 3.2, 2.6, Yes, 78.0, 4.2, Fair, 5, Bachelor, Poor, 1, No
S1455, 19, Male, 8.3, 3.3, 2.6, Yes, 86.6, 6.5, Fair, 5, High School, Average, 9, No
S1456, 22, Female, 3.9, 1.6, 0.7, Yes, 86.0, 4.6, Good, 5, Master, Poor, 1, No
S1457, 24, Male, 2.4, 2.6, 1.5, No, 86.5, 5.7, Good, 3, High School, Good, 4, No
S1458, 19, Male, 2.9, 3.0, 3.1, No, 70.9, 5.4, Good, 5, Master, Good, 3, No
S1459, 19, Female, 5.2, 4.2, 2.8, Yes, 93.0, 7.5, Poor, 2, High School, Good, 7, No
S1460, 18, Male, 3.7, 3.3, 0.3, Yes, 87.4, 6.6, Fair, 6, High School, Good, 5, No
S1461, 21, Female, 1.3, 3.4, 2.2, No, 92.3, 5.0, Fair, 6, Master, Poor, 5, No
S1462, 22, Male, 4.9, 2.6, 0.0, Yes, 66.1, 7.6, Poor, 3, Bachelor, Good, 4, No
S1463, 17, Male, 2.5, 4.2, 1.9, Yes, 88.1, 4.8, Fair, 1, Master, Good, 1, No
S1464, 20, Male, 6.3, 3.0, 3.9, Yes, 73.1, 6.9, Fair, 2, Master, Average, 5, No
S1465, 23, Male, 5.1, 1.5, 0.8, No, 81.0, 5.5, Fair, 6, None, Good, 4, No
S1466, 24, Female, 2.8, 4.2, 0.9, No, 90.3, 6.1, Good, 2, Bachelor, Average, 10, No
S1467, 17, Male, 5.4, 3.3, 2.6, No, 85.9, 7.1, Fair, 6, High School, Good, 8, No
S1468, 21, Female, 3.6, 2.0, 0.1, No, 76.5, 7.1, Good, 0, Bachelor, Good, 2, Yes
S1469, 20, Male, 4.8, 1.9, 1.1, No, 85.1, 8.1, Fair, 1, Bachelor, Good, 8, Yes
S1470, 21, Female, 4.2, 2.9, 2.5, No, 69.7, 6.4, Fair, 1, High School, Good, 1, No
S1471, 24, Female, 2.2, 3.1, 1.1, No, 96.5, 6.9, Fair, 0, Bachelor, Poor, 4, No
S1472, 19, Female, 2.5, 2.7, 1.5, No, 82.9, 6.0, Poor, 3, Bachelor, Average, 3, No
S1473, 20, Male, 5.0, 2.9, 2.6, No, 96.2, 6.7, Poor, 6, High School, Average, 5, No
S1474, 19, Male, 3.0, 4.5, 2.3, Yes, 79.7, 7.0, Fair, 6, Bachelor, Good, 5, No
S1475, 24, Male, 2.9, 3.8, 2.1, No, 79.8, 6.4, Good, 6, Bachelor, Good, 5, Yes
S1476, 17, Female, 2.1, 2.7, 1.4, No, 77.4, 4.3, Good, 5, Master, Good, 4, Yes
S1477, 24, Male, 4.1, 3.6, 2.2, No, 93.8, 6.9, Poor, 5, High School, Poor, 8, No
S1478, 17, Female, 6.6, 1.3, 1.7, No, 77.9, 6.9, Good, 5, High School, Good, 3, Yes
S1479, 20, Female, 1.9, 3.0, 2.3, No, 91.4, 5.7, Good, 5, Bachelor, Good, 4, No
S1480, 20, Male, 3.5, 4.7, 1.3, Yes, 81.2, 5.0, Good, 5, None, Good, 1, No
S1481, 22, Female, 5.6, 2.2, 1.6, No, 65.2, 8.3, Good, 0, Master, Poor, 7, No
S1482, 21, Male, 3.4, 1.5, 0.7, No, 79.3, 7.1, Fair, 1, None, Poor, 1, No
S1483, 22, Male, 4.2, 1.7, 1.8, No, 73.2, 6.2, Fair, 3, Bachelor, Poor, 2, No
S1484, 21, Female, 1.9, 1.2, 0.9, No, 85.3, 5.1, Fair, 2, Bachelor, Good, 7, Yes
S1485, 22, Female, 4.1, 1.6, 0.6, No, 73.1, 5.5, Fair, 5, High School, Good, 1, No
S1486, 19, Female, 3.2, 2.1, 2.1, No, 94.3, 8.1, Fair, 0, None, Good, 3, No
